Region,n_registros,media,mediana,q1,q3,promedio,desv_estandar,cant_solar,cant_eolica,proporcion_region,porcentaje_region
Región Metropolitana de Santiago,424,0.927444286127405,0.09523809523809523,0.01085883514313919,0.9090909090909091,0.927444286127405,2.6721265643065486,424,0,0.15142857142857144,15.142857142857144
Región del Maule,337,0.6201567896732889,0.09967320261437909,0.010446343779677113,0.9950248756218906,0.6201567896732889,1.5888387981664833,332,3,0.12035714285714286,12.035714285714286
Región de Valparaíso,320,1.1335272811452375,0.08498349834983498,0.009478672985781991,0.8547008547008547,1.1335272811452375,3.864345903840414,318,2,0.11428571428571428,11.428571428571429
Región del Libertador Gral. Bernardo O’Higgins,315,0.9747157967919343,0.10983397190293742,0.012526096033402923,0.9941176470588236,0.9747157967919343,2.421644698161392,301,7,0.1125,11.25
Región de Antofagasta,249,1.70484911549418,0.6666666666666666,0.08251633986928104,1.3333333333333333,1.70484911549418,3.4444280999386097,199,28,0.08892857142857143,8.892857142857142
Región de Coquimbo,192,1.692199107403533,0.17076845806127575,0.013316776802017215,1.3333333333333333,1.692199107403533,6.654352992383526,173,17,0.06857142857142857,6.857142857142858
Región del Biobío,190,0.580918829584637,0.1638655462184874,0.011507785303021215,1,0.580918829584637,0.7332694811951734,118,55,0.06785714285714285,6.785714285714286
Región de Ñuble,180,0.9671125434393708,0.08792517006802722,0.009950248756218905,1,0.9671125434393708,2.779302344195024,164,14,0.06428571428571428,6.428571428571428
Región de Atacama,178,1.4105976442427686,0.1409185803757829,0.012114660679533215,1.3235294117647058,1.4105976442427686,3.484288498897828,171,7,0.06357142857142857,6.357142857142857
Región de La Araucanía,97,0.6735078540749648,0.16414141414141414,0.009963768115942028,0.6231884057971014,0.6735078540749648,3.216731556949168,66,19,0.03464285714285714,3.4642857142857144
Región de Tarapacá,97,3.1298208460947468,0.2763455136334813,0.0170261066969353,0.9230769230769231,3.1298208460947468,6.7550917248217015,97,0,0.03464285714285714,3.4642857142857144
Región de Los Lagos,95,4.53027136900157,0.15542521994134897,0.08,2.24,4.53027136900157,11.559260009561681,21,62,0.033928571428571426,3.392857142857143
Región de Los Ríos,62,3.036808666447332,0.20579313351659723,0.012335526315789474,1.6666666666666667,3.036808666447332,5.58868033765312,31,19,0.02214285714285714,2.214285714285714
Región de Arica y Parinacota,43,0.4243227638636026,0.09022556390977443,0.017319733387194506,0.10418568633476838,0.4243227638636026,1.5977739753955846,43,0,0.015357142857142857,1.5357142857142858
Región Aisén del Gral.Carlos Ibáñez del Campo,12,2.631441223832528,0.9206349206349207,0.11904761904761904,1.7222222222222223,2.631441223832528,4.440003526367523,0,10,0.004285714285714286,0.4285714285714286
Región de Magallanes y de la Antártica Chilena,9,5.02805759055759,7.857142857142857,1.5384615384615385,7.857142857142857,5.02805759055759,3.4241127181271103,0,7,0.0032142857142857142,0.3214285714285714
